AMD
ABNB
AKAM
ALGN
AMZN
APP
ANET
AZO
AXON
BRK-B
BIIB
XYZ
BSX
BLDR
CDNS
CVNA
CBRE
CNC
CRL
CHTR
CMG
CIEN
COIN
CPRT
CPAY
CSGP
CRWD
DDOG
DVA
DECK
DXCM
DLTR
DASH
EW
EPAM
FFIV
FSLR
FISV
FTNT
GDDY
HSIC
HOLX
IDXX
INCY
PODD
ISRG
IQV
KEYS
LYV
LULU
MTD
MRNA
MOH
NFLX
NCLH
ORLY
ON
PLTR
PANW
PTC
HOOD
NOW
SMCI
SNPS
TDY
TSLA
TTD
TRMB
UBER
VRTX
WBD
WAT
WDAY
ZBRA
