ticker,snapshot_dt,expiry,HV,IV,spread,decile,position,notional,approx_straddle_pct
GLD,2026-03-03,2026-03-20,0.4474,0.3945,0.053,10,LONG STRADDLE,10000,0.0911
AAPL,2026-03-03,2026-03-20,0.3322,0.3263,0.0059,10,LONG STRADDLE,10000,0.0754
GOOGL,2026-03-03,2026-03-20,0.252,0.3928,-0.1408,1,SHORT STRADDLE,10000,0.0907
TSLA,2026-03-03,2026-03-20,0.3183,0.4739,-0.1557,1,SHORT STRADDLE,10000,0.1094
